Beer;Lot;Density (Plato);weight (g);O2 (ppb);CO2 (vol/vol)
NF;1670;2,48;498,5;347;2,62
NF;1670;2,48;495,7;231;2,6
NF;1670;2,48;485,9;274;2,52
NF;1670;2,48;468,5;409;2,52
NF;1670;2,48;NA;103;2,63
NF;1670;2,48;496,7;241;2,6
NF;1670;2,48;498;62,7;2,57
NF;1670;2,48;496,8;219;2,58
IPAT96;1668;3,40;NA;2,63;91
IPAT96;1668;3,40;NA;2,63;99
IPAT96;1668;3,40;NA;2,53;825
IPAT96;1668;3,40;NA;2,54;348
IPAT96;1668;3,40;498,8;2,54;661
IPAT96;1668;3,40;502;2,52;180
IPAT96;1668;3,40;499,4;2,54;524
IPAT96;1668;3,40;500;2,5;80
IPAT96;1668;3,40;499,6;2,55;484
IPAT96;1668;3,40;500;2,54;771
IPAT96;1668;3,40;498,2;2,66;1630
IPAT96;1668;3,40;499;NA;NA
IPAT96;1668;3,40;502,8;2,55;277
IPAT96;1668;3,40;501;2,52;131
Ins;1671;3,20;501,2;654;2,64
Ins;1671;3,20;NA;243;2,61
Ins;1671;3,20;497,6;597;2,56
Ins;1671;3,20;499,7;363;2,54
Ins;1671;3,20;499,9;570;2,58
Ins;1671;3,20;497,8;149;2,5
Ins;1671;3,20;501;368;2,53
Ins;1671;3,20;503,4;150;2,51
Ins;1671;3,20;501,3;226;2,52
Ins;1671;3,20;502;171;2,52
Ins;1671;3,20;501,4;198;2,54
Ins;1671;3,20;502,2;129;2,56
